Componente,Valor,Aplica
Cgen,419230.4564746582,true
Cfijo,2213.0,true
Carr,2037.0,true
Cvert,0.0,true
CSOC,0.0,true
CBESS,388.97368421052636,true
Total,423869.43015886866,true
