Componente,Valor,Aplica
Cgen,431525.6656585116,true
Cfijo,2157.999999999981,true
Carr,8131.799999999932,true
Cvert,0.0,true
CSOC,0.0,false
CBESS,0.0,false
Total,441815.4656585113,true
