#,bus_bess,bus_eolico,costo,sobrecosto_pct
1,1,1,429870.3771,0.0000
2,1,2,429870.3771,0.0000
3,1,3,429870.3771,0.0000
4,1,4,429870.3771,0.0000
5,1,5,429870.3771,0.0000
6,1,6,429870.3771,0.0000
7,1,7,429870.3771,0.0000
8,1,8,429870.3771,0.0000
9,1,9,429870.3771,0.0000
10,1,10,429870.3771,0.0000
